,Epoch,Time per epoch,Avg time per step,Train loss,Train accuracy,Test loss,Test accuracy
0,0.0,1742.6912984848022,1.38749307204204,2.8495746397288744,0.7367407278397028,1.028382010188452,0.8980145302547764
1,1.0,1740.958862543106,1.3861137440629825,0.871870864016615,0.9128454252919319,0.9016474703813244,0.9103138269639057
2,2.0,1730.4676773548126,1.3777608896137044,0.6670856076963009,0.9329178277600857,0.686470165836868,0.931901871019109
3,3.0,1729.8238143920898,1.3772482598663136,0.561167457218098,0.9432598527070047,0.6147561888002856,0.9398885350318479
4,4.0,1730.3104484081268,1.3776357073313112,0.5007401349106032,0.948619542860934,0.5739797934367779,0.9436537951167719
5,5.0,1731.1126191616058,1.3782743783133804,0.43085771065893447,0.9556254976114635,0.5857824653588758,0.9431147160297241
6,6.0,1732.629498720169,1.3794820849682874,0.37590773095181035,0.9610930035828027,0.5434862531389401,0.9471868365180464
7,7.0,1731.269268989563,1.3783990995139832,0.3333732931382337,0.9648935111464974,0.5439994626969193,0.9488953025477712
8,8.0,1792.6152815818787,1.4272414662276105,0.3175497923378542,0.9661935210987254,0.5399370467183506,0.9473112393842877
9,9.0,1730.6093018054962,1.3778736479343123,0.26857334292926793,0.9712504976114655,0.5199261767327026,0.9511843152866242
10,10.0,1731.6043858528137,1.3786659123031957,0.22295020544415067,0.975417993630573,0.5375098600734476,0.9525278662420373
11,11.0,1731.586374759674,1.378651572260887,0.20321555774077582,0.9777422538481946,0.5718574059688172,0.9503466693205942
12,12.0,1731.1188747882843,1.3782793589078697,0.1876542643454092,0.9794030321125269,0.5525430476672615,0.9531332935244153
13,13.0,1731.1303715705872,1.3782885123969644,0.16470368553522477,0.9817335124734601,0.5544881287926606,0.9537884819532905
14,14.0,1731.5177328586578,1.3785969210658104,0.15316386098801427,0.9830169353768593,0.5719826840469318,0.9526605626326954
15,15.0,1731.2904305458069,1.378415947886789,0.13527048715526702,0.985108976910828,0.6169411969922816,0.9524615180467112
16,16.0,1759.4249029159546,1.4008160055063332,0.12987999938974146,0.9859010084925696,0.6254802798603181,0.9453705546709137
17,17.0,1773.507203578949,1.4120280283271887,0.11778515688541114,0.9871823580148616,0.6291835558701567,0.9529674230360932
18,18.0,1784.9533281326294,1.4211411848189726,0.11233985771063217,0.9878064457271766,0.6191840797401728,0.9548666401273882
19,19.0,2539.044060230255,2.0215318950877825,0.10459597230218588,0.9888389895169858,0.6189422354541102,0.9549164012738861
20,20.0,2435.023788690567,1.938713207556184,0.09845903025981585,0.9894796642781319,0.6230540781987796,0.9543856157112517
21,21.0,2537.688261985779,2.0204524378867665,0.0964508259203285,0.9898487261146489,0.6242285709009524,0.9553808386411891
22,22.0,1844.0178434848785,1.4681670728382792,0.09204051180914709,0.9903940253450114,0.6184865721044647,0.9549744559447967
23,23.0,1771.8583092689514,1.410715214386108,0.08375823515716489,0.9912316713110401,0.6350762725623834,0.955778927813164
24,24.0,1945.1152334213257,1.5486586253354504,0.08399901726686508,0.9912565518842881,0.662696662714859,0.9553559580679414
25,25.0,2158.798488855362,1.718788605776562,0.03975887056351135,0.996216079485137,0.5619243152178587,0.9621981157112509
26,26.0,1933.7312314510345,1.5395949294992313,0.025453864113326855,0.997659152733546,0.5737816478618106,0.9624054538216564
27,27.0,2068.347187757492,1.6467732386604237,0.0216048798734429,0.9979888203290859,0.5934489162128632,0.9631435774946911
28,28.0,1997.3991281986237,1.5902859300944456,0.02070964646531613,0.9982065253450109,0.595185078852543,0.963616308386412
29,29.0,1769.6737143993378,1.4089758872606193,0.019474495610127308,0.9982251857749461,0.6036484958307379,0.9630772292993632
30,30.0,2426.673407793045,1.9320648151218511,0.017310654016353996,0.9984055699309984,0.6079153142406777,0.9636494824840761
31,31.0,2637.378015756607,2.0998232609527125,0.016956372931747916,0.9984138634554146,0.5924747820563947,0.9632016321656047
32,32.0,1987.3616547584534,1.5822943111134182,0.016859305890538037,0.9984739915074308,0.6112491360859601,0.9634006767515912
33,33.0,2135.443053483963,1.7001935139203528,0.015185254293043095,0.9985983943736729,0.6109655391318118,0.9641719745222926
34,34.0,1975.7077627182007,1.573015734648249,0.01450326355103,0.9986979166666664,0.6202973367195506,0.9632265127388524
35,35.0,1734.439926147461,1.3809235080791886,0.013682606634476287,0.9988036591029709,0.6150930639486879,0.9632099256900224
36,36.0,1734.885085105896,1.3812779340015096,0.012956344000520599,0.9988326864384292,0.6188889699958408,0.9638982882165601
37,37.0,1734.2839584350586,1.3807993299642187,0.013022253148933979,0.9987870720541396,0.6243129599614033,0.9639148752653914
38,38.0,1734.3739972114563,1.3808710168881022,0.011892958534555213,0.9989487957802544,0.6033125945669451,0.9641553874734607
39,39.0,1734.5499312877655,1.3810110917896221,0.011513402999918551,0.9989176950636941,0.6172469779255854,0.9641802680467112
40,40.0,1733.6992762088776,1.3803338186376413,0.011233757709740264,0.9989798964968153,0.607366733330118,0.9645617701698508
41,41.0,1734.436630487442,1.3809208841460525,0.011778200620631124,0.9989301353503176,0.6223098991652298,0.9637987659235656
42,42.0,1733.934767484665,1.3805213116916122,0.010993788415524564,0.9989861166401267,0.6228881559340628,0.9642383227176217
43,43.0,1734.3876535892487,1.3808818898003572,0.010992135284587172,0.9989778231157103,0.6135071957614392,0.9637407112526543
44,44.0,1734.2813844680786,1.380797280627451,0.010924609757627652,0.999037951167728,0.6093852817122439,0.9639895169851381
45,45.0,1732.1369433403015,1.3790899230416414,0.00959530455256059,0.9991830878450116,0.6152758128691915,0.9640807457537156
46,46.0,1733.1513664722443,1.3798975847708952,0.009960609624625012,0.9990939324575357,0.6165845506783029,0.9641305069002125
47,47.0,1733.4357578754425,1.3801240110473267,0.009710480868341816,0.9991291799363057,0.611187974263908,0.9647774018046708
48,48.0,1733.1341910362244,1.3798839100606881,0.010333820069683301,0.9991022259819531,0.6089403071992432,0.9646032377919324
49,49.0,1776.9291286468506,1.4147524909608682,0.009752262596509591,0.9991561338906577,0.62325041831299,0.9643378450106157
50,0.0,1756.6908094882965,1.3986391795288986,0.011524293154988225,0.9989716029723994,0.6324993814667983,0.9637572983014868
51,1.0,1733.8572945594788,1.3804596294263365,0.012225820192070618,0.9988824475849256,0.630335294196655,0.9637490047770714
52,2.0,1734.4927778244019,1.3809655874398103,0.011166235498763668,0.9989840432590229,0.6389219937252866,0.9638568205944801
53,0.0,1746.7744631767273,1.390743999344528,0.009579405038777715,0.999077345408704,0.6389232389272967,0.9634670249469214
54,1.0,1750.1081635951996,1.3933982194229295,0.010138499210914894,0.9990960058386419,0.6359827222278828,0.9642466162420379
55,2.0,1812.371481180191,1.4429709245065214,0.009648618077752507,0.9991665007961777,0.6246991359693989,0.964528596072186
56,3.0,2359.368950843811,1.8784784640476202,0.008892397293939617,0.999166500796178,0.6225368582471541,0.9648188694267511
57,4.0,1768.5186114311218,1.4080562192922945,0.008589564276871029,0.9992017482749461,0.6314666501845524,0.9643295514862004
58,5.0,1769.8313584327698,1.4091014000260906,0.008964097130284378,0.9991706475583866,0.6209247689634846,0.9643129644373685
59,6.0,1754.0359485149384,1.3965254367157152,0.008587871896174208,0.9992224820859864,0.621455644678538,0.9649681528662408
60,7.0,1805.5485546588898,1.437538658167906,0.008130653868103103,0.9992058950371545,0.6263752937625358,0.9643046709129518
61,8.0,1864.1015281677246,1.4841572676494623,0.008066216778828744,0.9992888302813164,0.622545597285839,0.9647193471337571
62,9.0,1781.6054906845093,1.4184757091437177,0.008450332195587029,0.9992660230891715,0.6256999183197025,0.9647525212314227
63,10.0,1802.6494069099426,1.4352304195142855,0.008774167598539571,0.9991706475583856,0.631356693905108,0.9644207802547758
64,11.0,2544.5581483840942,2.0259220926624955,0.007936861082780987,0.9992577295647554,0.630191755059893,0.9644871284501066
65,12.0,1778.7647731304169,1.4162139913458733,0.007160688571003117,0.9993095640923567,0.624188214255746,0.9649515658174098
66,13.0,1842.098942041397,1.4666392850648067,0.008386976106365206,0.9992515094214437,0.6252298773248579,0.9646944665605086
67,14.0,1894.6459064483643,1.5084760401658952,0.008050063546379186,0.9992577295647558,0.627947513162378,0.9646695859872615
68,15.0,1873.7255101203918,1.4918196736627323,0.007930985267813892,0.9992494360403398,0.6331532547713086,0.9650262075371543
69,16.0,1803.0525290966034,1.4355513766692702,0.007249841872887437,0.9993655453821653,0.6307168339800303,0.9650676751592353
70,17.0,1764.4725036621094,1.4048347959093228,0.007187447817640225,0.9993448115711245,0.6351523733917316,0.9647691082802541
71,18.0,2371.37450671196,1.8880370276369107,0.007718951143265055,0.9992826101380031,0.6295813280484004,0.9648686305732475
72,19.0,2655.435688018799,2.114200388549999,0.007492528420095896,0.999355178476646,0.640108245626614,0.9646778795116772
73,20.0,2047.0113484859467,1.6297861054824416,0.007552806304316897,0.999288830281317,0.621715274428842,0.9648603370488333
74,21.0,1751.2755806446075,1.3943276915960252,0.0072627361585047975,0.9993634720010615,0.6295690295422912,0.9648188694267505
75,22.0,1748.3162317276,1.3919715220761146,0.008153434900661848,0.9992888302813155,0.6280702959900354,0.9645451831210197
76,23.0,1875.9408838748932,1.4935835062698195,0.00741983792050534,0.9993137108545641,0.6254119943993487,0.9648022823779184
77,24.0,1847.9258136749268,1.4712785140723939,0.007406118079711487,0.9993759122876857,0.627306347979814,0.9651008492568995
78,25.0,1800.2818756103516,1.4333454423649297,0.007220152229408787,0.9993634720010617,0.6294420262335971,0.9646032377919321
79,26.0,1738.0643727779388,1.3838092139951743,0.007036062586269561,0.999326151141189,0.6260366632134482,0.9646778795116789
80,27.0,1736.3638198375702,1.3824552705713138,0.007071533679345231,0.9993613986199572,0.629246053143529,0.9648935111464945
81,28.0,1736.0747425556183,1.3822251134996961,0.007481125597159859,0.9993012705679402,0.6209809687344512,0.9647774018046713
